epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,rec_healthy,rec_general,rec_serious,time_elapsed
1,0.18897820712514785,0.8530801179417267,0.8659807557096425,0.3832072212637111,0.842047209353629,0.853503578358501,0.9488465396188566,0.7558386411889597,0.8492699010833726,2015.83
2,0.1541096324074526,0.8769221013918392,0.8893954856949065,0.3701517662841237,0.8541804544451798,0.865127759312745,0.9789368104312939,0.7466383581033262,0.867169100329722,2651.55
3,0.14868249902608416,0.880758377984211,0.8933132108824536,0.42892843989846535,0.828810941981028,0.8423523213371679,0.8936810431293881,0.8096249115357396,0.8111163447951013,2710.21
4,0.13877173095656695,0.884753178402714,0.897137852510122,0.3431570182421971,0.85616589455107,0.8708905076086016,0.9689067201604814,0.8266100495399858,0.8228921337729628,2633.57
5,0.13147559336192416,0.8919184553438382,0.9035293861043364,0.35241467078428845,0.85660710346349,0.8704777538632613,0.958876629889669,0.8280254777070064,0.8276024493641074,2025.7
6,0.1265623049653344,0.8945182460923877,0.9060573887711346,0.3774747579077459,0.8486653430399294,0.8633929052668995,0.9879638916750251,0.8131634819532909,0.8068770607630711,1992.93
7,0.11766880148132185,0.9005421514853682,0.9114017386253418,0.38881254231751056,0.8508713876020295,0.8669582687201496,0.9919759277833501,0.8372257607926398,0.7936881771078662,2084.51
8,0.11718486493248033,0.9022225040423576,0.9130258104723694,0.3540127477257798,0.8521950143392897,0.8682575266720565,0.9829488465396189,0.8506723283793347,0.7918040508714084,2053.31
9,0.10875182335515707,0.9055832091563362,0.9162299149723426,0.38068529234965603,0.8517538054268696,0.8677385666425289,0.9799398194583752,0.8627034677990092,0.784267545925577,2235.61
10,0.10541706235005327,0.9104657430011731,0.9202987467312992,0.39168513608426936,0.8484447385837194,0.8654472068486915,0.9839518555667001,0.8499646142958245,0.7837965143664626,2380.29
11,0.10290069973297243,0.9110364287752449,0.9211303163040777,0.3774052013860267,0.85815133465696,0.8723092315817511,0.9859578736208626,0.8117480537862704,0.8290155440414507,3319.95
12,0.09618876816691041,0.9157287340287246,0.9251696329631578,0.3978931368122002,0.8506507831458195,0.8675510316983178,0.9839518555667001,0.8471337579617835,0.790390956194065,2309.52
13,0.09491138569625324,0.916394534098475,0.9258963499406409,0.3941988079767448,0.85616589455107,0.8719214675460968,0.9839518555667001,0.8428874734607219,0.8049929345266132,1902.5
14,0.09170344888314237,0.9201356963951682,0.9291448247617179,0.40345149833873484,0.8563864990072799,0.8711826814168645,0.9719157472417251,0.8365180467091295,0.8153556288271314,1261.27
15,0.0889338972287591,0.9210868393519546,0.9299720682563493,0.3854469998773274,0.8601367747628502,0.8751318448894572,0.9809428284854563,0.83793347487615,0.8181818181818182,1213.83
